species,individuals,ID,date,notes
birds,40,44,27/07/2022,over two days
birds,50,91,26/07/2022,over two days
birds,40,150,23/07/2022,over two days
birds,50,90,24/07/2022,over two days
birds,70,165,22/07/2022,over two days
birds,30,14,24/07/2022,over two days
birds,10,22,20/07/2022,
barking_deer,1,22,23/07/2022,
birds,20,19,21/07/2022,
birds,10,170,19/07/2022,
birds,15,163,24/07/2022,
birds,50,136,23/07/2022,
birds,20,112,27/07/2022,
birds,30,25,26/07/2022,
birds,10,52,27/07/2022,
birds,5,167,27/07/2022,
birds,15,146,27/07/2022,
birds,20,117,28/07/2022,
birds,20,2,18/07/2022,
birds,30,136,17/07/2022,
birds,20,171,20/07/2022,
birds,30,91,16/07/2022,
birds,20,11,18/07/2022,
fish,300,114,14/08/2022,
birds,5,21,16/08/2022,
birds,30,129,17/08/2022,
squirrel,6,59,07/08/2022,
birds,11,59,08/08/2022,
birds,89,60,04/08/2022,over two days
birds,9,69,12/08/2022,
birds,10,70,16/08/2022,
birds,5,71,16/08/2022,
birds,30,65,16/08/2022,
birds,30,115,31/08/2022,
birds,14,129,31/08/2022,
birds,5,59,28/08/2022,
squirrel,3,59,28/08/2022,
birds,52,60,24/08/2022,
birds,100,62,27/08/2022,
assamese_macaque,3,62,29/08/2022,
flying_squirrel,2,70,22/08/2022,
squirrel,11,70,22/08/2022,
birds,42,64,22/08/2022,
birds,35,65,21/08/2022,
squirrel,1,88,13/08/2022,
birds,10,118,08/05/2022,
hill_partridge,1,22,11/08/2022,
birds,100,41,07/08/2022,
birds,15,97,11/08/2022,
birds,10,3,06/08/2022,
birds,20,44,12/08/2022,
birds,5,109,13/08/2022,
birds,10,91,07/08/2022,
birds,15,165,09/08/2022,
birds,10,112,07/08/2022,
birds,10,39,11/08/2022,
birds,10,52,12/08/2022,
birds,20,163,08/09/2022,
birds,5,172,11/08/2022,
birds,10,117,06/08/2022,
birds,15,146,06/08/2022,over two days
birds,30,136,05/08/2022,o
birds,10,88,23/08/2022,
wild_boar,1,41,23/08/2022,kiron
squirrel,2,100,27/08/2022,
birds,20,101,26/08/2022,
birds,10,34,28/08/2022,
birds,15,7,25/08/2022,
birds,20,3,23/08/2022,
birds,10,39,27/08/2022,
birds,7,2,28/08/2022,
birds,20,91,25/08/2022,
birds,15,171,26/08/2022,
birds,20,165,27/08/2022,
birds,10,19,27/08/2022,
birds,11,68,27/08/2022,
birds,16,117,28/08/2022,
fish,45,114,12/09/2022,
squirrel,1,114,11/09/2022,
birds,5,10,14/09/2022,
fish,150,79,12/09/2022,
birds,7,129,08/09/2022,
bamboo_rat,4,15,14/09/2022,
squirrel,10,60,12/09/2022,
birds,98,60,17/09/2022,
birds,5,76,05/09/2022,
birds,15,59,14/09/2022,
fish,250,62,13/09/2022,
fish,185,74,02/09/2022,
birds,3,57,12/09/2022,
squirrel,2,57,12/09/2022,
squirrel,1,132,05/09/2022,
squirrel,4,70,16/09/2022,
birds,6,65,13/09/2022,
squirrel,3,83,13/09/2022,
birds,6,83,13/09/2022,
birds,8,55,12/09/2022,
squirrel,5,59,28/09/2022,
birds,54,59,29/09/2022,
birds,48,60,26/09/2022,
birds,3,76,25/09/2022,
birds,10,173,24/09/2022,
birds,4,15,28/09/2022,
fish,56,15,24/09/2022,
fish,89,74,22/09/2022,over two days
squirrel,1,71,29/09/2022,
birds,5,65,27/09/2022,
squirrel,1,55,27/09/2022,
squirrel,7,58,26/09/2022,
birds,10,41,11/09/2022,
squirrel,1,108,07/09/2022,
birds,10,3,09/09/2022,
birds,15,91,08/09/2022,
birds,10,171,11/09/2022,
birds,20,165,12/09/2022,
squirrel,2,171,11/09/2022,
birds,10,39,07/09/2022,
birds,10,117,08/09/2022,
birds,10,88,21/09/2022,
birds,15,41,24/09/2022,
squirrel,2,100,28/08/2022,
birds,20,101,26/09/2022,
wild_boar,1,7,24/09/2022,
flying_squirrel,1,97,24/09/2022,
birds,20,3,27/09/2022,
birds,10,36,22/09/2022,
birds,10,2,25/09/2022,
birds,20,91,26/09/2022,
birds,25,171,25/09/2022,over two days
birds,15,165,26/09/2022,
birds,20,112,21/09/2022,
birds,10,41,11/09/2022,
squirrel,1,108,07/09/2022,
birds,10,3,09/09/2022,
birds,15,91,08/09/2022,
birds,10,171,11/09/2022,
birds,20,165,12/09/2022,
squirrel,2,171,11/09/2022,
birds,10,39,07/09/2022,
birds,10,117,08/09/2022,
birds,10,88,21/09/2022,
birds,15,41,24/09/2022,
squirrel,2,100,28/08/2022,
birds,20,101,26/09/2022,
wild_boar,1,7,24/09/2022,
flying_squirrel,1,97,24/09/2022,
birds,20,3,27/09/2022,
birds,10,36,22/09/2022,
birds,10,2,25/09/2022,
birds,20,91,26/09/2022,
birds,25,171,25/09/2022,over two days
birds,15,165,26/09/2022,
birds,20,112,21/09/2022,
serow,1,62,04/10/2022,
